week,ssc
1,0.151977249611436
2,0.149935234021736
3,0.147856903090746
4,0.14570632306608
5,0.143447560195349
6,0.141044680726169
7,0.13846175090615
8,0.135632463080179
9,0.132581289055317
10,0.129408464272444
11,0.126214224172438
12,0.123098804196179
13,0.120162439784546
14,0.116292263818654
15,0.110823454632484
16,0.104528315846208
17,0.0981791510800006
18,0.0925482639540337
19,0.0884079580884807
20,0.0865305371035148
21,0.0859957056691071
22,0.0858365346108382
23,0.0867553767822963
24,0.0894545850370695
25,0.0946365122287456
26,0.10369794856553
27,0.116634219872116
28,0.13204548242682
29,0.148531892507961
30,0.164693606393857
31,0.179130780362825
32,0.190443570693184
33,0.200856696092438
34,0.212794035132978
35,0.225154483890453
36,0.236836938440511
37,0.2467402948588
38,0.25376344922097
39,0.256805297602669
40,0.256968420455419
41,0.255984715237516
42,0.25369705353477
43,0.24994830693299
44,0.244581347017985
45,0.237439045375564
46,0.228364273591537
47,0.217199903251713
48,0.20395941922846
49,0.188807424614008
50,0.17181346832396
51,0.153047099273918
52,0.132577866379487
53,0.110475318556267